year,Base case cost,Modeled water and wastewater efficiency
2017,113477.441733,112182.243784
2018,119000.650913,113198.889284
2019,126262.039193,114991.964449
2020,129884.198199,115265.126516
2021,132437.010237,115113.11847
2022,134350.58784,114718.918099
2023,135838.09877,114172.55753
2024,136900.709291,113474.105238
2025,138400.863237,112991.21472
2026,140124.255219,112631.886428
2027,141415.342663,112114.172429
2028,142708.330828,111623.346594
2029,144247.322996,111267.641922
2030,145347.524422,110747.981469
2031,147097.580315,110530.115068
