year,Base case cost,Modeled solar power (pv)
2016,147589.345136,160035.401557
2017,177508.479527,189296.043001
2018,200866.325026,212097.202067
2019,231825.062525,242422.440885
2020,248275.799265,258437.94915
2021,260524.538838,270314.96314
2022,270250.365301,279709.570374
2023,278288.533661,287445.409584
2024,284587.59964,293470.35966
2025,293039.465732,301633.669261
2026,302312.296752,310614.270899
2027,310043.942958,318081.104542
2028,317868.474666,325647.101445
2029,326994.117892,334510.180985
2030,334040.554902,341320.383268
2031,344119.34627,351138.631297
2032,354073.813967,360838.607212
2033,363888.953412,370405.173686
2034,374824.434901,381088.10608
2035,382080.936045,388136.624683
