year,Base case diesel consumed,Modeled residential ashp
2017,123909.880581,9075.34307662
2018,126591.389914,11756.85241
2019,129272.899247,14438.3617433
2020,131954.408581,17119.8710766
2021,134635.917914,19801.3804099
2022,137317.427247,22482.8897433
2023,138658.181914,23823.6444099
2024,141339.691247,26505.1537433
2025,144021.200581,29186.6630766
2026,146702.709914,31868.1724099
2027,149384.219247,34549.6817432
2028,152065.728581,37231.1910766
2029,154747.237914,39912.7004099
2030,158769.501914,43934.9644099
2031,161451.011247,46616.4737432
