year,Base case cost,Modeled wind power
2019,231825.062525,402141.349844
2020,248275.799265,408714.062496
2021,260524.538838,412735.918644
2022,270250.365301,415269.382288
2023,278288.533661,416840.098164
2024,284587.59964,417394.019969
2025,293039.465732,419592.725875
2026,302312.296752,422408.845066
2027,310043.942958,424398.641985
2028,317868.474666,426579.928762
2029,326994.117892,429851.674588
2030,334040.554902,431752.142335
2031,344119.34627,435855.959396
2032,354073.813967,439925.132974
2033,363888.953412,443942.556553
2034,374824.434901,448858.902037
2035,382080.936045,451407.571643
2036,393242.200752,456714.785109
2037,400667.324805,459593.293246
2038,412336.601752,465565.956091
