year,annotation,diesel generation efficiency
2002,,13.29
2003,,13.3
2004,,12.63
2005,,13.37
2006,,13.48
2007,,13.67
2008,,14.3
2009,,14.21
2010,,13.97
2011,,13.8
2012,,13.64
2013,,13.25
2014,,14.46
2015,,14.28
2016,start of forecast,14.0
2017,,14.0
2018,,14.0
2019,,14.0
2020,,14.0
2021,,14.0
2022,,14.0
2023,,14.0
2024,,14.0
2025,,14.0
2026,,14.0
2027,,14.0
2028,,14.0
2029,,14.0
2030,,14.0
2031,,14.0
2032,,14.0
2033,,14.0
2034,,14.0
2035,,14.0
2036,,14.0
2037,,14.0
2038,,14.0
2039,,14.0
2040,,14.0
