year,Base case diesel consumed,Modeled solar power (pv)
2016,85311.760194,84183.3441714
2017,86169.1648191,85049.7761246
2018,86955.1190587,85844.6854738
2019,87812.5236838,86710.9735676
2020,88669.9283088,87577.1905936
2021,89527.3329339,88443.3371204
2022,90384.737559,89309.4137119
2023,91242.142184,90175.4209278
2024,92099.5468091,91041.3593229
2025,93028.4018196,91978.6798333
2026,93885.8064447,92844.4822342
2027,94814.6614551,93781.6678384
2028,95743.5164656,94718.7867978
2029,96743.8218615,95727.2900311
2030,97672.676872,96664.2772962
2031,98601.5318825,97601.1995033
2032,99458.9365076,98466.6067874
2033,100244.890747,99260.4996648
2034,101030.844987,100054.329033
2035,101888.249612,100919.545786
