year,Base case cost,Modeled residential energy efficiency
2017,826649.227834,816970.050511
2018,884582.987752,862154.548338
2019,957510.670828,919532.083442
2020,1003765.52367,956459.361434
2021,1042429.06444,987683.660736
2022,1076531.13293,1015510.83
2023,1097347.36054,1030853.57543
2024,1125055.49782,1053887.78715
2025,1156729.37944,1080241.40234
2026,1190686.95969,1108591.62125
2027,1221280.44853,1134371.98178
2028,1252208.18899,1160557.09459
2029,1285453.05324,1188767.15927
2030,1325907.3662,1224975.94768
2031,1362054.2946,1255859.94982
2032,1387594.25771,1276201.10665
2033,1424560.10259,1308030.76238
2034,1464143.89773,1342178.49774
2035,1495528.80288,1369631.14022
2036,1524522.34531,1393306.65603
