year,Base case diesel consumed,Modeled non-residential ashp
2017,1731.76748045,-2032.94443357
2018,1731.76748045,-2032.94443357
2019,1731.76748045,-2032.94443357
2020,1731.76748045,-2032.94443357
2021,1731.76748045,-2032.94443357
2022,1731.76748045,-2032.94443357
2023,1731.76748045,-2032.94443357
2024,1731.76748045,-2032.94443357
2025,1731.76748045,-2032.94443357
2026,1731.76748045,-2032.94443357
2027,1731.76748045,-2032.94443357
2028,1731.76748045,-2032.94443357
2029,1731.76748045,-2032.94443357
2030,1731.76748045,-2032.94443357
2031,1731.76748045,-2032.94443357
