year,Base case diesel consumed,Loud creek hydro_akutan,Akutan (north creek),"Akutan (unnamed stream, site #1) -- unnamed creek, 1","Akutan (unnamed stream, site #2) -- unnamed creek, 2",Loud creek (akutan)
2021,27503.6945638,0.0,0.0,0.0,4547.34784534,0.0
2022,27415.357094,-88.3374698531,-88.3374698531,-88.3374698531,4459.01037548,-88.3374698531
2023,27415.357094,-88.3374698531,-88.3374698531,-88.3374698531,4459.01037548,-88.3374698531
2024,27415.357094,-88.3374698531,-88.3374698531,-88.3374698531,4459.01037548,-88.3374698531
2025,27327.0196241,-176.674939706,-176.674939706,-176.674939706,4370.67290563,-176.674939706
2026,27238.6821543,-265.012409559,-265.012409559,-265.012409559,4282.33543578,-265.012409559
2027,27238.6821543,-265.012409559,-265.012409559,-265.012409559,4282.33543578,-265.012409559
2028,27150.3446844,-353.349879412,-353.349879412,-353.349879412,4193.99796592,-353.349879412
2029,27150.3446844,-353.349879412,-353.349879412,-353.349879412,4193.99796592,-353.349879412
2030,27062.0072146,-441.687349266,-441.687349266,-441.687349266,4105.66049607,-441.687349266
2031,26973.6697447,-530.024819119,-530.024819119,-530.024819119,4017.32302622,-530.024819119
2032,26885.3322749,-618.362288972,-618.362288972,-618.362288972,3928.98555636,-618.362288972
2033,26885.3322749,-618.362288972,-618.362288972,-618.362288972,3928.98555636,-618.362288972
2034,26796.994805,-706.699758825,-706.699758825,-706.699758825,3840.64808651,-706.699758825
2035,26708.6573352,-795.037228678,-795.037228678,-795.037228678,3752.31061666,-795.037228678
2036,26620.3198653,-883.374698531,-883.374698531,-883.374698531,3663.9731468,-883.374698531
2037,26531.9823954,-971.712168384,-971.712168384,-971.712168384,3575.63567695,-971.712168384
2038,26531.9823954,-971.712168384,-971.712168384,-971.712168384,3575.63567695,-971.712168384
2039,26443.6449256,-1060.04963824,-1060.04963824,-1060.04963824,3487.2982071,-1060.04963824
2040,26355.3074557,-1148.38710809,-1148.38710809,-1148.38710809,3398.96073725,-1148.38710809
2041,26266.9699859,-1236.72457794,-1236.72457794,-1236.72457794,3310.62326739,-1236.72457794
2042,26266.9699859,-1236.72457794,-1236.72457794,-1236.72457794,3310.62326739,-1236.72457794
2043,26178.632516,-1325.0620478,-1325.0620478,-1325.0620478,3222.28579754,-1325.0620478
2044,26090.2950462,-1413.39951765,-1413.39951765,-1413.39951765,3133.94832769,-1413.39951765
2045,26001.9575763,-1501.7369875,-1501.7369875,-1501.7369875,3045.61085783,-1501.7369875
2046,26001.9575763,-1501.7369875,-1501.7369875,-1501.7369875,3045.61085783,-1501.7369875
2047,25913.6201065,-1590.07445736,-1590.07445736,-1590.07445736,2957.27338798,-1590.07445736
2048,25825.2826366,-1678.41192721,-1678.41192721,-1678.41192721,2868.93591813,-1678.41192721
2049,25825.2826366,-1678.41192721,-1678.41192721,-1678.41192721,2868.93591813,-1678.41192721
2050,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2051,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2052,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2053,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2054,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2055,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2056,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2057,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2058,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2059,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2060,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2061,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2062,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2063,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2064,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2065,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2066,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2067,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2068,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2069,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
2070,25736.9451668,-1766.74939706,-1766.74939706,-1766.74939706,2780.59844827,-1766.74939706
