year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,24898.95,209942.58,37828.63,16085.43,71280.73,42656.88
2018,27451.66,232045.68,41781.16,18181.62,80777.13,48339.85
2019,31125.03,263818.89,45106.59,21194.37,94428.2,55060.17
2020,32815.76,279014.77,47689.05,22587.47,100956.97,58867.04
2021,33916.64,289375.6,49449.82,23499.51,105408.4,61462.63
2022,34678.39,296973.54,48090.37,24135.04,108672.79,61698.53
2023,35183.95,302499.31,48980.39,24561.93,111046.89,63046.42
2024,35600.66,307334.36,47016.5,24916.48,113124.23,62489.98
2025,36082.0,312860.14,47857.46,25324.7,115498.32,63801.44
2026,36625.02,319076.64,45956.64,25784.26,118169.19,63463.58
2027,37067.38,324602.41,46748.55,26162.8,120543.28,64738.61
2028,37412.75,329437.46,44502.58,26463.05,122620.62,63972.7
2029,37921.42,335653.96,42344.21,26895.31,125291.48,63443.59
2030,38173.28,339798.29,42864.55,27119.19,127072.06,64345.22
2031,38713.17,346705.51,40639.61,27579.24,130039.68,63852.54
2032,39221.51,353612.73,38292.02,28015.06,133007.3,63268.78
2033,39710.8,360519.95,39036.62,28435.79,135974.93,64680.42
2034,40262.4,368117.89,36573.39,28907.25,139239.31,64096.66
2035,40503.71,372952.94,33726.48,29125.31,141316.65,62884.5
2036,41038.7,380550.88,31017.97,29582.34,144581.04,62118.6
2037,41196.34,384695.21,31354.36,29731.26,146361.61,62883.61
2038,41711.25,392293.15,28474.15,30171.37,149626.0,61990.21
2039,42063.71,398509.65,25371.44,30479.18,152296.86,60759.83
2040,42622.72,406798.31,22271.35,30955.01,155858.01,59789.02
