year,Base case cost,Modeled diesel efficiency
2019,85535.2993044,229841.893971
2020,91312.2659519,231529.247508
2021,95437.8201365,231798.858424
2022,98146.9783964,230862.420112
2023,100340.206964,229536.626117
2024,102259.281961,228039.405607
2025,104115.944768,226561.427249
2026,106230.860402,225392.42389
2027,108409.954974,224354.225637
2028,109958.895972,222813.922864
2029,112402.426993,222155.987577
2030,113660.430301,220487.784076
2031,115986.779902,219856.70703
2032,118295.462009,219273.926599
2033,120983.995237,219099.314964
2034,123534.146051,218860.277689
2035,124996.516329,217692.28704
2036,127511.332155,217539.598308
2037,128680.114618,216220.404257
2038,131598.632681,216547.700572
