year,Base case cost,Modeled wind power
2019,85535.2993044,
2020,91312.2659519,
2021,95437.8201365,
2022,98146.9783964,
2023,100340.206964,
2024,102259.281961,
2025,104115.944768,
2026,106230.860402,
2027,108409.954974,
2028,109958.895972,
2029,112402.426993,
2030,113660.430301,
2031,115986.779902,
2032,118295.462009,
2033,120983.995237,
2034,123534.146051,
2035,124996.516329,
2036,127511.332155,
2037,128680.114618,
2038,131598.632681,
