year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,27592.03,8191.88,69072.18,12351.67
2018,27592.03,8171.44,69072.18,12351.67
2019,27592.03,8149.05,69072.18,11738.46
2020,27503.69,8123.79,69072.18,11738.46
2021,27503.69,8095.69,69072.18,11738.46
2022,27415.36,8065.74,69072.18,11125.25
2023,27415.36,8033.84,69072.18,11125.25
2024,27415.36,8001.11,69072.18,10512.04
2025,27327.02,7966.06,69072.18,10512.04
2026,27238.68,7928.41,69072.18,9898.83
2027,27238.68,7887.57,69072.18,9898.83
2028,27150.34,7844.22,69072.18,9285.62
2029,27150.34,7803.62,69072.18,8672.41
2030,27062.01,7759.64,69072.18,8672.41
2031,26973.67,7712.61,69072.18,8059.2
2032,26885.33,7661.25,69072.18,7445.99
2033,26885.33,7608.21,69072.18,7445.99
2034,26796.99,7554.68,69072.18,6832.79
2035,26708.66,7501.43,69072.18,6219.58
2036,26620.32,7448.76,69072.18,5606.37
2037,26531.98,7396.82,69072.18,5606.37
2038,26531.98,7344.22,69072.18,4993.16
2039,26443.64,7290.74,69072.18,4379.95
2040,26355.31,7237.11,69072.18,3766.74
