year,annotation,diesel generation efficiency
2002,,12.08
2003,,11.5
2004,,10.91
2005,,13.02
2006,,11.48
2007,,12.17
2008,,14.71
2009,,12.74
2010,,13.12
2011,,11.06
2012,,9.57
2013,,13.33
2014,start of forecast,11.32
2015,,11.32
2016,,11.32
2017,,11.32
2018,,11.32
2019,,11.32
2020,,11.32
2021,,11.32
2022,,11.32
2023,,11.32
2024,,11.32
2025,,11.32
2026,,11.32
2027,,11.32
2028,,11.32
2029,,11.32
2030,,11.32
2031,,11.32
2032,,11.32
2033,,11.32
2034,,11.32
2035,,11.32
2036,,11.32
2037,,11.32
2038,,11.32
2039,,11.32
2040,,11.32
