year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,8191.88145348,5324.72294476
2018,8171.43508627,5311.43280608
2019,8149.05312963,5296.88453426
2020,8123.78600837,5280.46090544
2021,8095.69364453,5262.20086895
2022,8065.74288811,5242.73287727
2023,8033.84331623,5221.99815555
2024,8001.10672541,5200.71937151
2025,7966.05962761,5177.93875794
2026,7928.4094306,5153.46612989
2027,7887.57229949,5126.92199467
2028,7844.22141237,5098.74391804
2029,7803.61803115,5072.35172025
2030,7759.63877251,5043.76520213
2031,7712.60753929,5013.19490054
