year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,69072.1841093,51113.4162409
2018,69072.1841093,51113.4162409
2019,69072.1841093,51113.4162409
2020,69072.1841093,51113.4162409
2021,69072.1841093,51113.4162409
2022,69072.1841093,51113.4162409
2023,69072.1841093,51113.4162409
2024,69072.1841093,51113.4162409
2025,69072.1841093,51113.4162409
2026,69072.1841093,51113.4162409
2027,69072.1841093,51113.4162409
2028,69072.1841093,51113.4162409
2029,69072.1841093,51113.4162409
2030,69072.1841093,51113.4162409
2031,69072.1841093,51113.4162409
