year,Base case cost,Loud creek hydro_akutan,Akutan (north creek),"Akutan (unnamed stream, site #1) -- unnamed creek, 1","Akutan (unnamed stream, site #2) -- unnamed creek, 2",Loud creek (akutan)
2021,95437.8201365,533199.494032,221053.862678,1412294.88072,144349.151587,1254089.40677
2022,98146.9783964,521674.811917,215800.05679,1380430.95314,141755.311412,1228811.61209
2023,100340.206964,510831.620973,211048.191294,1350201.29297,139426.278265,1204508.24636
2024,102259.281961,500275.762749,206431.240622,1320854.39513,137123.585066,1180798.97479
2025,104115.944768,489583.182841,201552.204124,1291609.0961,134578.764401,1157273.74541
2026,106230.860402,479068.904819,196729.32205,1262770.76473,132111.08269,1134240.31513
2027,108409.954974,469163.364612,192372.411694,1235107.63134,130003.876883,1112100.58015
2028,109958.895972,459166.849787,187784.828185,1207910.77637,127561.480706,1090147.89824
2029,112402.426993,449653.821184,183579.668126,1181224.83441,125589.170182,1068982.12745
2030,113660.430301,440114.078129,179190.256401,1155398.88151,123202.497276,1048032.85009
2031,115986.779902,430591.417085,174746.406361,1129252.8586,120978.375428,1027412.45998
2032,118295.462009,421254.969362,170372.519383,1103641.96885,118787.131116,1007240.89908
2033,120983.995237,412497.475159,166464.06026,1078950.77472,117025.098318,987904.752595
2034,123534.146051,403481.024912,162197.660174,1054159.76901,114933.498276,968570.821781
2035,124996.516329,394826.711095,158137.610134,1030750.30246,112758.744755,949800.720874
2036,127511.332155,386150.233155,153997.18689,1006941.56667,110724.853884,931290.190212
2037,128680.114618,377883.852176,150104.209722,984720.888323,108586.764338,913369.398097
2038,131598.632681,369968.997451,146521.327686,962286.318571,107045.309542,896081.523433
2039,133540.406874,361880.111756,142642.186904,940320.487448,105048.70086,878820.618868
2040,136256.939546,353789.602149,138700.902188,918120.81773,103150.495523,861807.486114
2041,135800.234827,346470.663371,135294.722335,899057.91171,100992.542766,845649.403875
2042,135800.234827,339769.262923,132414.375524,880887.793253,99331.1677285,830316.02739
2043,135343.530108,332768.221767,129144.832096,862686.83206,97252.0264345,814885.322057
2044,134886.825389,325920.563541,125941.214594,844901.751998,95210.9110086,799805.569965
2045,134430.12067,319222.693297,122801.977865,827522.805757,93206.9302109,785068.545565
2046,134430.12067,313127.805084,120182.317697,810997.179261,91695.9184145,771122.920868
2047,133973.41595,306719.061118,117167.351104,794402.167477,89763.6162434,757047.442083
2048,133516.711231,300449.818021,114212.343753,778185.39713,87865.8983753,743291.1532
2049,133516.711231,294773.511031,111772.595097,762794.708093,86458.6589768,730303.278085
2050,133060.006512,288773.537772,108933.323334,747308.033623,84627.6970337,717163.101584
2051,133060.006512,283360.189596,106606.597707,732630.328809,83285.6489652,704776.898689
2052,133060.006512,278073.716746,104334.404703,718296.632642,81975.055143,692680.997375
2053,133060.006512,272911.145645,102115.466241,704298.882594,80695.178374,680868.593844
2054,133060.006512,267869.572271,99948.5341348,690629.20472,79445.2987083,669333.043444
2055,133060.006512,262946.160775,97832.3895007,677279.90993,78224.713098,658067.857512
2056,133060.006512,258138.141739,95765.8420076,664243.489243,77032.7349636,647066.699382
2057,133060.006512,253442.810635,93747.7292152,651512.609626,75868.6938131,636323.380862
2058,133060.006512,248857.526396,91776.9159596,639080.110116,74731.9348876,625831.858967
2059,133060.006512,244379.709723,89852.2936251,626938.997221,73621.818741,615586.23204
2060,133060.006512,240006.841862,87972.7796202,615082.44162,72537.720938,605580.736959
2061,133060.006512,235736.463128,86137.3167401,603503.774136,71479.031686,595809.745751
2062,133060.006512,231566.171361,84344.8725064,592196.481579,70445.1554548,586267.76207
2063,133060.006512,227493.620819,82594.4386893,581154.203722,69435.5107006,576949.418658
2064,133060.006512,223516.520691,80885.0306696,570370.729282,68449.5294981,567849.473945
2065,133060.006512,219632.633882,79215.6869153,559839.992618,67486.6572386,558962.809265
2066,133060.006512,215839.775581,77585.4683668,549556.069853,66546.3522755,550284.425585
2067,133060.006512,212135.812466,75993.4580954,539513.176716,65628.0857273,541809.441681
2068,133060.006512,208518.660956,74438.760552,529705.663806,64731.3410439,533533.090144
2069,133060.006512,204986.286472,72920.501248,520128.014579,63855.6138231,525450.715681
2070,133060.006512,201536.702003,71437.8261412,510774.841473,63000.411456,517557.77184
