year,Base case cost,Modeled non-residential energy efficiency
2017,2220012.6141,2204319.21495
2018,2351961.33488,2320107.5574
2019,2535223.44709,2483048.57834
2020,2623189.26094,2558762.44038
2021,2681833.13685,2607716.03389
2022,2725816.04378,2643344.36119
2023,2758803.22398,2669004.21232
2024,2784459.91968,2688052.43905
2025,2813781.85764,2710564.80386
2026,2850434.28008,2739898.27772
2027,2883421.46027,2765972.18839
2028,2909078.15598,2785424.77014
2029,2942065.33618,2811691.43807
2030,2964056.78964,2827972.83417
2031,3000709.21208,2857782.75497
