year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,40898.23,1313969.19,46752.26,12363.85,906043.43,53621.41
2018,43673.02,1403555.41,49589.32,12952.92,948405.92,56128.51
2019,47531.78,1527980.73,53529.67,13766.59,1007242.72,59610.59
2020,49374.31,1587704.88,55421.03,14164.52,1035484.38,61281.98
2021,50596.27,1627520.98,56681.95,14434.61,1054312.15,62396.25
2022,51511.26,1657383.06,57627.63,14638.21,1068432.98,63231.94
2023,52195.76,1679779.62,58336.89,14792.18,1079023.61,63858.72
2024,52722.19,1697199.16,58888.54,14916.44,1087260.76,64346.21
2025,53329.49,1717107.21,59519.0,15054.07,1096674.65,64903.34
2026,54088.94,1741992.28,66676.23,15225.79,1108442.0,69699.74
2027,54775.79,1764388.83,67460.4,15377.74,1119032.63,70365.69
2028,55300.9,1781808.38,68070.31,15502.76,1127269.78,70883.65
2029,55982.16,1804204.93,68854.48,15658.83,1137860.4,71549.59
2030,56431.13,1819135.97,69377.26,15766.74,1144920.82,71993.56
2031,57180.41,1844021.03,70248.56,15945.75,1156688.18,72733.5
2032,,,71206.99,,,73547.44
2033,,,72078.29,,,74287.38
2034,,,73036.72,,,75101.31
2035,,,73646.63,,,75619.27
2036,,,74605.06,,,76433.21
