year,Base case diesel consumed,Modeled non-residential ashp
2017,248850.632563,174195.442869
2018,248850.632563,174195.442869
2019,248850.632563,174195.442869
2020,248850.632563,174195.442869
2021,248850.632563,174195.442869
2022,248850.632563,174195.442869
2023,248850.632563,174195.442869
2024,248850.632563,174195.442869
2025,248850.632563,174195.442869
2026,248850.632563,174195.442869
2027,248850.632563,174195.442869
2028,248850.632563,174195.442869
2029,248850.632563,174195.442869
2030,248850.632563,174195.442869
2031,248850.632563,174195.442869
