year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,26670.0,19720.2796296
2018,26670.0,19720.2796296
2019,26670.0,19720.2796296
2020,26670.0,19720.2796296
2021,26670.0,19720.2796296
2022,26670.0,19720.2796296
2023,26670.0,19720.2796296
2024,26670.0,19720.2796296
2025,26670.0,19720.2796296
2026,26670.0,19720.2796296
2027,26670.0,19720.2796296
2028,26670.0,19720.2796296
2029,26670.0,19720.2796296
2030,26670.0,19720.2796296
2031,26670.0,19720.2796296
2032,,
2033,,
2034,,
2035,,
2036,,
