year,Base case cost,Modeled biomass for heat (cordwood)
2017,99500.227822,115434.11059
2018,107501.227822,121350.194479
2019,118969.327822,129829.91472
2020,124303.327822,133773.970646
2021,128303.827822,136732.01259
2022,130970.827822,138704.040553
2023,133104.427822,140281.662923
2024,134704.627822,141464.879701
2025,136838.227822,143042.502072
2026,139238.527822,144817.327238
2027,141105.427822,146197.746812
2028,142972.327822,147578.166386
2029,145105.927822,149155.788757
2030,146439.427822,150141.802738
2031,149106.427822,152113.830701
2032,,
2033,,
2034,,
2035,,
2036,,
