year,Base case diesel consumed,Modeled non-residential ashp
2017,27528.8432158,19270.1902511
2018,27528.8432158,19270.1902511
2019,27528.8432158,19270.1902511
2020,27528.8432158,19270.1902511
2021,27528.8432158,19270.1902511
2022,27528.8432158,19270.1902511
2023,27528.8432158,19270.1902511
2024,27528.8432158,19270.1902511
2025,27528.8432158,19270.1902511
2026,27528.8432158,19270.1902511
2027,27528.8432158,19270.1902511
2028,27528.8432158,19270.1902511
2029,27528.8432158,19270.1902511
2030,27528.8432158,19270.1902511
2031,27528.8432158,19270.1902511
