year,Base case diesel consumed,Modeled wind power,Bethel renewable energy project,Bethel wind power project times 4,Bethel wind farm construction (bnc land)
2017,3166528.10621,,2988709.44837,3113090.15976,2262556.35094
2018,3169865.09587,,2992046.43803,3116427.14942,2265893.34061
2019,3172911.91252,2265875.84622,2995093.25468,3119473.96607,2268940.15725
2020,3177191.96448,2270155.89818,2999373.30664,3123754.01803,2273220.20921
2021,3180238.78113,2273202.71483,3002420.12329,3126800.83468,2276267.02586
2022,3182922.88151,2275886.81521,3005104.22367,3129484.93506,2278951.12624
2023,3185316.80888,2278280.74258,3007498.15104,3131878.86242,2281345.05361
2024,3187855.82275,2280819.75645,3010037.16491,3134417.8763,2283884.06748
2025,3190467.37988,2283431.31358,3012648.72204,3137029.43343,2286495.62461
2026,3193151.48026,2286115.41396,3015332.82242,3139713.53381,2289179.72499
2027,3197141.3592,2290105.2929,3019322.70136,3143703.41275,2293169.60394
2028,3199607.82982,2292571.76352,3021789.17198,3146169.88337,2295636.07456
2029,3202437.01671,2295400.95041,3024618.35887,3148999.07026,2298465.26145
2030,3205338.74685,2298302.68055,3027520.08901,3151900.8004,2301366.99159
2031,3208167.93374,2301131.86744,3030349.2759,3154729.98729,2304196.17848
2032,3210852.03412,2303815.96782,3033033.37628,3157414.08767,2306880.27886
2033,3213173.41824,2306137.35194,3035354.7604,3159735.47179,2309201.66297
2034,3215422.2591,2308386.1928,3037603.60126,3161984.31265,2311450.50383
2035,3218396.53249,2311360.46619,3040577.87465,3164958.58604,2314424.77723
2036,3221515.8924,2314479.82609,3043697.23455,3168077.94594,2317544.13713
2037,3224925.42531,2317889.35901,,,
2038,3228770.21775,2321734.15145,,,
