year,Base case cost,Modeled wind power,Bethel renewable energy project,Bethel wind power project times 4,Bethel wind farm construction (bnc land)
2017,9752906.56712,,9820893.98172,9980297.78117,10192274.4374
2018,10904335.9298,,10907891.5049,11108074.1134,11008843.5172
2019,12501272.9353,12422830.4738,12419415.2241,12675153.305,12164428.7699
2020,13280662.4115,12961652.8504,13153013.3942,13436690.3294,12704058.9613
2021,13802236.3101,13305782.3795,13641138.6795,13944216.8835,13048783.1679
2022,14195836.0515,13554114.2299,14007566.437,14325749.1709,13297601.104
2023,14493191.4804,13730619.706,14282506.234,14612557.9688,13474510.2824
2024,14727893.9011,13861132.2564,14498029.2145,14837775.6006,13605370.3583
2025,14995196.6854,14017690.0814,14744838.2644,15095285.836,13762297.9592
2026,15327127.1052,14224563.9407,15053440.7251,15416657.1345,13969590.0465
2027,15634021.2465,14415250.0499,15338713.7477,15713588.2637,14160664.5899
2028,15870054.8359,14551626.895,15556343.7887,15940707.0045,14297374.0502
2029,16172306.9344,14739831.9177,15837344.6387,16233267.7834,14485960.3993
2030,16379280.9964,14856988.5446,16027791.5752,16432047.6747,14603416.5888
2031,16714554.9348,15072547.2544,16340651.7793,16757434.0461,14819375.9579
2032,17081732.8215,15313275.2531,16684070.9021,17114394.029,15060527.457
2033,17415399.9268,15529192.5057,16995660.6677,17438420.6699,15276838.9045
2034,17781285.0928,15770547.098,17338115.5805,17794329.2432,15518610.6841
2035,18023020.582,15919594.0653,17562640.2053,18028025.9835,15667967.3469
2036,18394855.7456,16168729.0551,17911358.4077,18390114.6868,15917513.5034
2037,18640068.9583,16323041.2464,,,
2038,19017456.5825,16579474.3028,,,
