year,Base case cost,Modeled biomass for heat (pellet)
2017,138908.126037,148767.922178
2018,155146.684714,163079.864604
2019,177671.423391,182992.405515
2020,188669.722068,192645.063882
2021,196004.182068,199039.089036
2022,201763.120745,204033.048619
2023,202368.79397,204049.123478
2024,205457.35397,206665.974348
2025,209571.362647,210196.418699
2026,214204.112647,214191.097524
2027,218317.871323,217727.046384
2028,221406.311323,220355.289511
2029,226038.971323,224358.2094
2030,228608.23,226530.048731
2031,233755.53,230995.424094
2032,238388.1,235006.012892
2033,243530.668677,239471.648175
2034,248677.868677,243944.323011
2035,252280.908677,247047.444299
2036,257423.107354,251519.766267
