year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,52392.0,46650.1778527
2018,52391.0,46649.1778527
2019,52390.0,46648.1778527
2020,52389.0,46647.1778527
2021,52389.0,46647.1778527
2022,52388.0,46646.1778527
2023,51476.0,45734.1778527
2024,51476.0,45734.1778527
2025,51475.0,45733.1778527
2026,51475.0,45733.1778527
2027,51474.0,45732.1778527
2028,51474.0,45732.1778527
2029,51474.0,45732.1778527
2030,51473.0,45731.1778527
2031,51473.0,45731.1778527
2032,51473.0,45731.1778527
2033,51472.0,45730.1778527
2034,51472.0,45730.1778527
2035,51472.0,45730.1778527
2036,51471.0,45729.1778527
