year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5217.14036336,3391.14123618
2018,5216.10533181,3390.46846568
2019,5215.25141594,3389.91342036
2020,5214.44549167,3389.38956958
2021,5213.67384712,3388.88800063
2022,5213.01664824,3388.46082136
2023,5212.38986924,3388.05341501
2024,5211.83051602,3387.68983541
2025,5211.27998915,3387.33199294
2026,5210.7480327,3386.98622126
2027,5210.20797869,3386.63518615
2028,5209.66724988,3386.28371242
2029,5209.54270923,3386.202761
2030,5209.45979011,3386.14886357
2031,5209.22992705,3385.99945258
