year,Base case diesel consumed,Modeled solar power (pv)
2016,146483.68292,144297.21329
2017,146483.68292,144314.705047
2018,146587.498429,144435.872379
2019,146691.313937,144556.900896
2020,146795.129446,144677.791709
2021,146795.129446,144694.730411
2022,146795.129446,144711.533603
2023,146795.129446,144728.20237
2024,146898.944955,144848.553295
2025,146898.944955,144864.956428
2026,146898.944955,144881.228337
2027,147002.760464,145001.185578
2028,147002.760464,145017.198178
2029,147002.760464,145033.082676
2030,147002.760464,145048.840098
2031,147002.760464,145064.471461
2032,147002.760464,145079.977773
2033,146898.944955,144991.544526
2034,146898.944955,145006.803729
2035,146691.313937,144814.309841
