year,Base case diesel consumed,Modeled non-residential ashp
2017,64457.9460512,32751.7863553
2018,64457.9460512,32751.7863553
2019,65180.6305531,33474.4708571
2020,65903.3150549,34197.155359
2021,65180.6305531,33474.4708571
2022,65903.3150549,34197.155359
2023,65903.3150549,34197.155359
2024,65903.3150549,34197.155359
2025,65903.3150549,34197.155359
2026,65903.3150549,34197.155359
2027,66625.9995568,34919.8398608
2028,66625.9995568,34919.8398608
2029,66625.9995568,34919.8398608
2030,66625.9995568,34919.8398608
2031,66625.9995568,34919.8398608
