year,Base case diesel consumed,Modeled solar power (pv)
2016,89326.1946356,88266.9502581
2017,89326.1946356,88275.4242131
2018,89326.1946356,88283.8303765
2019,89402.0880715,88368.0627265
2020,89402.0880715,88376.3349293
2021,89402.0880715,88384.5409544
2022,89402.0880715,88392.6813313
2023,89402.0880715,88400.7565853
2024,89402.0880715,88408.7672372
2025,89402.0880715,88416.7138038
2026,89402.0880715,88424.596798
2027,89402.0880715,88432.4167282
2028,89402.0880715,88440.1740989
2029,89402.0880715,88447.8694107
2030,89402.0880715,88455.50316
2031,89402.0880715,88463.0758393
2032,89402.0880715,88470.5879371
2033,89402.0880715,88478.0399382
2034,89402.0880715,88485.4323233
2035,89402.0880715,88492.7655693
