year,Base case cost,Modeled wind power
2019,308437.203847,491491.702355
2020,324529.5797,498706.605493
2021,336151.851149,502600.907306
2022,344198.039075,503860.147236
2023,349562.16436,503169.931377
2024,354032.268763,501904.313558
2025,359396.394047,501437.411209
2026,366548.561093,502455.021097
2027,371912.686377,502201.08711
2028,376382.790781,501361.5258
2029,382640.936946,501999.076974
2030,387111.04135,501357.857945
2031,393369.187515,502189.102697
2032,400521.35456,503802.185661
2033,407673.521606,505506.533721
2034,414825.688652,507300.007909
2035,419295.793055,507115.371192
2036,426085.948412,508718.868141
2037,430552.258143,508698.439179
2038,437326.475878,510450.063386
