year,annotation,Average Load
2003,,134.0
2004,,138.0
2005,,138.0
2006,,146.0
2007,,135.0
2008,,123.0
2009,,124.0
2010,,125.0
2011,,122.0
2012,,123.0
2013,,118.0
2014,,117.0
2015,,135.0
2016,start of forecast,123.0
2017,,123.0
2018,,123.0
2019,,123.0
2020,,123.0
2021,,123.0
2022,,123.0
2023,,123.0
2024,,123.0
2025,,123.0
2026,,123.0
2027,,123.0
2028,,123.0
2029,,123.0
2030,,123.0
2031,,123.0
2032,,123.0
2033,,123.0
2034,,123.0
2035,,123.0
2036,,123.0
2037,,123.0
2038,,123.0
2039,,123.0
2040,,122.0
