year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,12136.52,1319254.0,0.0,1319254.0
2004,,12136.52,1389866.0,0.0,1389866.0
2005,,12136.52,1353753.0,0.0,1353753.0
2006,,12136.52,1379315.0,0.0,1379315.0
2007,,12136.52,1350310.0,0.0,1350310.0
2008,,12136.52,1247440.0,0.0,1247440.0
2009,,12136.52,1226160.0,0.0,1226160.0
2010,,12136.52,1214805.0,0.0,1214805.0
2011,,12136.52,1179765.0,0.0,1179765.0
2012,,12136.52,1195831.0,0.0,1195831.0
2013,,12136.52,1142603.0,0.0,1142603.0
2014,,12136.52,1125926.0,0.0,1125926.0
2015,,12136.52,1286465.0,0.0,1286465.0
2016,start of forecast,12136.52,1180000.0,3005.0,1176995.0
2017,,12136.52,1180000.0,3005.0,1176995.0
2018,,12136.52,1180000.0,3005.0,1176995.0
2019,,12136.52,1181000.0,3005.0,1177995.0
2020,,12136.52,1181000.0,3005.0,1177995.0
2021,,12136.52,1181000.0,3005.0,1177995.0
2022,,12136.52,1181000.0,3005.0,1177995.0
2023,,12136.52,1181000.0,3005.0,1177995.0
2024,,12136.52,1181000.0,3005.0,1177995.0
2025,,12136.52,1181000.0,3005.0,1177995.0
2026,,12136.52,1181000.0,3005.0,1177995.0
2027,,12136.52,1181000.0,3005.0,1177995.0
2028,,12136.52,1181000.0,3005.0,1177995.0
2029,,12136.52,1181000.0,3005.0,1177995.0
2030,,12136.52,1181000.0,3005.0,1177995.0
2031,,12136.52,1181000.0,3005.0,1177995.0
2032,,12136.52,1181000.0,3005.0,1177995.0
2033,,12136.52,1181000.0,3005.0,1177995.0
2034,,12136.52,1181000.0,3005.0,1177995.0
2035,,12136.52,1181000.0,3005.0,1177995.0
2036,,12136.52,1180000.0,3005.0,1176995.0
2037,,12136.52,1180000.0,3005.0,1176995.0
2038,,12136.52,1179000.0,3005.0,1175995.0
2039,,12136.52,1179000.0,3005.0,1175995.0
2040,,12136.52,1179000.0,3005.0,1175995.0
