year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,9515.03340725,6184.77171471
2018,9515.41439045,6185.01935379
2019,9515.77936034,6185.25658422
2020,9516.14206167,6185.49234009
2021,9516.4349717,6185.6827316
2022,9516.45378733,6185.69496176
2023,9516.20985133,6185.53640336
2024,9515.83046947,6185.28980515
2025,9515.7285181,6185.22353676
2026,9515.88024415,6185.3221587
2027,9516.06106104,6185.43968968
2028,9516.32794945,6185.61316714
2029,9516.3715857,6185.64153071
2030,9516.26242834,6185.57057842
2031,9516.08441378,6185.45486896
