year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,54692.0,40452.1399465
2018,54692.0,40452.1399465
2019,54692.0,40452.1399465
2020,54692.0,40452.1399465
2021,54692.0,40452.1399465
2022,54692.0,40452.1399465
2023,54692.0,40452.1399465
2024,54692.0,40452.1399465
2025,54692.0,40452.1399465
2026,54692.0,40452.1399465
2027,54692.0,40452.1399465
2028,54692.0,40452.1399465
2029,54692.0,40452.1399465
2030,54692.0,40452.1399465
2031,54692.0,40452.1399465
2032,,
2033,,
2034,,
2035,,
2036,,
