year,annotation,diesel generation efficiency
2002,,13.2
2003,,13.07
2004,,13.34
2005,,13.44
2006,,13.52
2007,,13.86
2008,,13.62
2009,,13.42
2010,,13.36
2011,,13.27
2012,,13.15
2013,,13.09
2014,,13.07
2015,,13.36
2016,start of forecast,13.18
2017,,13.18
2018,,13.18
2019,,13.18
2020,,13.18
2021,,13.18
2022,,13.18
2023,,13.18
2024,,13.18
2025,,13.18
2026,,13.18
2027,,13.18
2028,,13.18
2029,,13.18
2030,,13.18
2031,,13.18
2032,,13.18
2033,,13.18
2034,,13.18
2035,,13.18
2036,,13.18
2037,,13.18
2038,,13.18
2039,,13.18
2040,,13.18
