year,Base case cost,Modeled biomass for heat (pellet)
2017,108805.356269,115293.185164
2018,123422.553234,128801.854672
2019,141187.660414,145061.229765
2020,149715.362465,152822.703831
2021,155629.554773,158181.315917
2022,160135.606054,162246.159093
2023,163267.311695,165048.284914
2024,165903.351695,167396.180587
2025,166081.473704,167258.301352
2026,169792.07114,170593.521261
2027,172937.771653,173411.447007
2028,175507.498833,175701.860809
2029,176023.06956,175858.834393
2030,174966.238533,174567.333084
2031,175600.825157,174817.740897
2032,182402.203917,181248.174716
2033,186232.528533,184693.772093
2034,190201.943148,188268.239202
2035,196132.637252,193925.933124
2036,196771.270841,194167.06272
