year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,43198.0,39690.598133
2018,43934.0,40426.598133
2019,43934.0,40426.598133
2020,43934.0,40426.598133
2021,43934.0,40426.598133
2022,43934.0,40426.598133
2023,43934.0,40426.598133
2024,43934.0,40426.598133
2025,43198.0,39690.598133
2026,43198.0,39690.598133
2027,43198.0,39690.598133
2028,43198.0,39690.598133
2029,42462.0,38954.598133
2030,41727.0,38219.598133
2031,40991.0,37483.598133
2032,41727.0,38219.598133
2033,41727.0,38219.598133
2034,41727.0,38219.598133
2035,42462.0,38954.598133
2036,41727.0,38219.598133
