year,Base case cost,Modeled biomass for heat (cordwood)
2017,108805.356269,124284.478341
2018,123422.553234,137625.61697
2019,141187.660414,153759.859121
2020,149715.362465,161335.113637
2021,155629.554773,166494.353487
2022,160135.606054,170355.283513
2023,163267.311695,172949.067446
2024,165903.351695,175090.43961
2025,166081.473704,174754.023653
2026,169792.07114,177901.431187
2027,172937.771653,180532.418695
2028,175507.498833,182636.568428
2029,176023.06956,182619.44625
2030,174966.238533,181147.427527
2031,175600.825157,181235.640494
2032,182402.203917,187507.296392
2033,186232.528533,190799.880509
2034,190201.943148,194226.669453
2035,196132.637252,199729.901802
2036,196771.270841,199832.090224
