year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,43198.0,40009.4528482
2018,43934.0,40745.4528482
2019,43934.0,40745.4528482
2020,43934.0,40745.4528482
2021,43934.0,40745.4528482
2022,43934.0,40745.4528482
2023,43934.0,40745.4528482
2024,43934.0,40745.4528482
2025,43198.0,40009.4528482
2026,43198.0,40009.4528482
2027,43198.0,40009.4528482
2028,43198.0,40009.4528482
2029,42462.0,39273.4528482
2030,41727.0,38538.4528482
2031,40991.0,37802.4528482
2032,41727.0,38538.4528482
2033,41727.0,38538.4528482
2034,41727.0,38538.4528482
2035,42462.0,39273.4528482
2036,41727.0,38538.4528482
