year,Base case cost,Yerrick creek,Yerrick creek hydropower project: construction,"Tetlin, last tetlin village (mice creek)",Dot lake (bear creek),Cathedral rapids,Tok (clearwater creek)
2020,2029800.03681,,2554360.41351,,,,
2021,2123833.14936,10671868.7556,2594203.57903,3428673.51102,3131994.26581,8251116.00188,3674660.085
2022,2195889.54458,10540934.8876,2619671.16255,3472642.73389,3170478.73297,8079509.07636,3708129.51504
2023,2246400.01737,10399708.9065,2631180.96646,3496213.53354,3190639.53921,7913218.08652,3722440.92992
2024,2282409.08429,10252787.7932,2633415.90152,3506239.07915,3198626.99106,7751547.87842,3724084.17767
2025,2332901.13493,10119663.9984,2645952.30938,3530982.09312,3219889.78123,7592801.90251,3739880.16631
2026,2390627.59198,9995343.82975,2663878.42668,3563357.09923,3248046.96231,7437291.81948,3763099.33052
2027,2441099.09484,9869943.91562,2677390.90295,3589215.04669,3270357.70894,7285738.36229,3780308.14231
2028,2477074.86018,9738482.7019,2681586.32788,3601478.89024,3280449.46709,7138465.03189,3784785.63441
2029,2535018.13176,9625591.30298,2701172.10551,3635714.59789,3310370.38406,6993614.44224,3810296.76833
2030,2571232.6765,9501581.42827,2706534.48081,3649274.71998,3321696.04354,6853297.58161,3816347.97027
2031,2628918.74654,9395476.33904,2726769.47336,3684285.93949,3352331.55718,6714750.03119,3842905.54493
2032,2693834.97172,9297650.92342,2752323.04467,3726848.70176,3389785.50691,6578950.07899,3876785.85542
2033,2751228.413,9197970.41669,2773129.83397,3762552.16411,3421055.17016,6446366.22874,3904294.05064
2034,2816113.46224,9106673.60815,2799496.3957,3806045.54005,3459383.00184,6316644.8028,3939357.29704
2035,2859269.78464,9003859.84826,2811588.27602,3828804.90628,3479060.59807,6191085.97057,3954886.85997
2036,2924131.45193,8918795.55108,2838736.51515,3873192.13382,3518228.1778,6067167.82567,3991084.5911
2037,2967268.64363,8822071.93338,2851595.45582,3896828.10558,3538729.54403,5947279.96528,4007725.75289
2038,3032403.80898,8743247.22155,2879784.95777,3942363.57365,3578993.76709,5829192.05964,4045301.21027
2039,3082762.65331,8657222.5991,2898266.40689,3973898.55107,3606640.0355,5714304.54086,4069705.95715
2040,3162054.87204,8593546.82333,2936647.33185,4034071.51774,3660085.119,5600377.38477,4121418.71261
2041,3161745.23822,8478852.4773,2921617.74068,4016990.89814,3643993.74585,5493531.22009,4099938.2818
2042,3161435.6044,8366839.02028,2906933.14816,4000303.34813,3628272.25685,5389182.00286,4078954.04105
2043,3161125.97058,8257443.62755,2892585.46951,3983999.6564,3612911.98403,5287271.21889,4058454.3625
2044,3160816.33676,8150604.93132,2878566.8074,3968070.82526,3597904.46042,5187741.71097,4038427.88794
2045,3160816.33676,8046572.64575,2865179.08472,3952817.70316,3583551.05269,5090847.30447,4019173.16102
2046,3160506.70294,7944668.97863,2851795.50239,3937612.44164,3569224.41852,4995914.22269,4000060.08212
2047,3160197.06912,7845146.42554,2838718.34123,3922756.29696,3555226.30834,4903198.88158,3981387.70967
2048,3159887.4353,7747949.17268,2825940.41867,3908241.08576,3541549.02146,4812649.29684,3963145.71345
2049,3159577.80148,7653022.72195,2813454.72143,3894058.81756,3528185.03876,4724214.70961,3945324.0067
2050,3159268.16767,7560313.85556,2801254.40103,3880201.68963,3515127.01773,4637845.55349,3927912.73965
