year,Base case cost,Tok wind construction_vwp,Chisana mountain wind feasibility project,Modeled wind power
2019,1899498.53017,2396480.95467,2396480.95467,2396480.95467
2020,2029800.03681,2478966.42755,2478966.42755,2478966.42755
2021,2123833.14936,2533831.47004,2533831.47004,2533831.47004
2022,2195889.54458,2572069.3841,2572069.3841,2572069.3841
2023,2246400.01737,2594101.19107,2594101.19107,2594101.19107
2024,2282409.08429,2605317.67737,2605317.67737,2605317.67737
2025,2332901.13493,2628117.1797,2628117.1797,2628117.1797
2026,2390627.59198,2656886.20129,2656886.20129,2656886.20129
2027,2441099.09484,2680414.85715,2680414.85715,2680414.85715
2028,2477074.86018,2693097.86505,2693097.86505,2693097.86505
2029,2535018.13176,2723169.07727,2723169.07727,2723169.07727
2030,2571232.6765,2736789.07818,2736789.07818,2736789.07818
2031,2628918.74654,2767284.93771,2767284.93771,2767284.93771
2032,2693834.97172,2803695.75543,2803695.75543,2803695.75543
2033,2751228.413,2834549.2475,2834549.2475,2834549.2475
2034,2816113.46224,2871563.9107,2871563.9107,2871563.9107
2035,2859269.78464,2892088.78806,2892088.78806,2892088.78806
2036,2924131.45193,2929685.6726,2929685.6726,2929685.6726
2037,2967268.64363,2950782.82893,2950782.82893,2950782.82893
2038,3032403.80898,2989230.76009,2989230.76009,2989230.76009
