year,Base case diesel consumed,Yerrick creek,Yerrick creek hydropower project: construction,"Tetlin, last tetlin village (mice creek)",Dot lake (bear creek),Cathedral rapids,Tok (clearwater creek)
2020,724928.584576,,464908.34182,,,,
2021,724857.730156,464837.487399,464837.487399,705276.613915,627376.6718,0.0,665477.597167
2022,724716.021314,464695.778557,464695.778557,705134.905074,627234.962958,-141.708841661,665335.888325
2023,724645.166893,464624.924137,464624.924137,705064.050653,627164.108537,-212.563262491,665265.033904
2024,724574.312472,464554.069716,464554.069716,704993.196232,627093.254116,-283.417683321,665194.179484
2025,724503.458051,464483.215295,464483.215295,704922.341811,627022.399696,-354.272104152,665123.325063
2026,724432.603631,464412.360874,464412.360874,704851.48739,626951.545275,-425.126524982,665052.470642
2027,724361.74921,464341.506453,464341.506453,704780.632969,626880.690854,-495.980945813,664981.616221
2028,724290.894789,464270.652032,464270.652032,704709.778549,626809.836433,-566.835366643,664910.7618
2029,724290.894789,464270.652032,464270.652032,704709.778549,626809.836433,-566.835366643,664910.7618
2030,724290.894789,464270.652032,464270.652032,704709.778549,626809.836433,-566.835366643,664910.7618
2031,724220.040368,464199.797612,464199.797612,704638.924128,626738.982012,-637.689787473,664839.907379
2032,724149.185947,464128.943191,464128.943191,704568.069707,626668.127591,-708.544208304,664769.052959
2033,724007.477106,463987.234349,463987.234349,704426.360865,626526.41875,-850.253049964,664627.344117
2034,723936.622685,463916.379928,463916.379928,704355.506445,626455.564329,-921.107470795,664556.489696
2035,723865.768264,463845.525507,463845.525507,704284.652024,626384.709908,-991.961891625,664485.635275
2036,723794.913843,463774.671087,463774.671087,704213.797603,626313.855487,-1062.81631246,664414.780854
2037,723724.059422,463703.816666,463703.816666,704142.943182,626243.001066,-1133.67073329,664343.926434
2038,723724.059422,463703.816666,463703.816666,704142.943182,626243.001066,-1133.67073329,664343.926434
2039,723653.205001,463632.962245,463632.962245,704072.088761,626172.146646,-1204.52515412,664273.072013
2040,723582.350581,463562.107824,463562.107824,704001.23434,626101.292225,-1275.37957495,664202.217592
2041,723511.49616,463491.253403,463491.253403,703930.37992,626030.437804,-1346.23399578,664131.363171
2042,723440.641739,463420.398982,463420.398982,703859.525499,625959.583383,-1417.08841661,664060.50875
2043,723369.787318,463349.544562,463349.544562,703788.671078,625888.728962,-1487.94283744,663989.654329
2044,723298.932897,463278.690141,463278.690141,703717.816657,625817.874541,-1558.79725827,663918.799909
2045,723298.932897,463278.690141,463278.690141,703717.816657,625817.874541,-1558.79725827,663918.799909
2046,723228.078476,463207.83572,463207.83572,703646.962236,625747.020121,-1629.6516791,663847.945488
2047,723157.224056,463136.981299,463136.981299,703576.107815,625676.1657,-1700.50609993,663777.091067
2048,723086.369635,463066.126878,463066.126878,703505.253395,625605.311279,-1771.36052076,663706.236646
2049,723015.515214,462995.272457,462995.272457,703434.398974,625534.456858,-1842.21494159,663635.382225
2050,722944.660793,462924.418037,462924.418037,703363.544553,625463.602437,-1913.06936242,663564.527804
