year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,725141.15,11368.81,961630.17,840663.88
2018,725070.29,11360.22,961630.17,837653.78
2019,724999.44,11354.48,961630.17,834643.68
2020,724928.58,11347.4,961630.17,831633.57
2021,724857.73,11339.31,961630.17,827118.42
2022,724716.02,11331.6,961630.17,824108.32
2023,724645.17,11323.11,961630.17,819593.16
2024,724574.31,11315.64,961630.17,816583.06
2025,724503.46,11308.37,961630.17,813572.96
2026,724432.6,11301.71,961630.17,810562.85
2027,724361.75,11294.52,961630.17,806047.7
2028,724290.89,11287.18,961630.17,803037.6
2029,724290.89,11287.71,961630.17,803037.6
2030,724290.89,11287.37,961630.17,803037.6
2031,724220.04,11284.45,961630.17,801532.55
