year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,53400.7221437,39516.5343864
2018,53400.7221437,39516.5343864
2019,53400.7221437,39516.5343864
2020,53400.7221437,39516.5343864
2021,53400.7221437,39516.5343864
2022,53400.7221437,39516.5343864
2023,53400.7221437,39516.5343864
2024,53400.7221437,39516.5343864
2025,53400.7221437,39516.5343864
2026,53400.7221437,39516.5343864
2027,53400.7221437,39516.5343864
2028,53400.7221437,39516.5343864
2029,53400.7221437,39516.5343864
2030,53400.7221437,39516.5343864
2031,53400.7221437,39516.5343864
