year,Base case diesel consumed,Modeled residential ashp
2017,33653.0494672,7805.54973892
2018,33653.0494672,7805.54973892
2019,33653.0494672,7805.54973892
2020,33653.0494672,7805.54973892
2021,33653.0494672,7805.54973892
2022,35015.6914261,9168.19169786
2023,35015.6914261,9168.19169786
2024,35015.6914261,9168.19169786
2025,35015.6914261,9168.19169786
2026,35015.6914261,9168.19169786
2027,35015.6914261,9168.19169786
2028,35015.6914261,9168.19169786
2029,35015.6914261,9168.19169786
2030,35015.6914261,9168.19169786
2031,35015.6914261,9168.19169786
