year,Base case cost,Modeled non-residential energy efficiency
2017,532817.812761,525130.47408
2018,563275.402227,552250.872245
2019,604099.444035,588569.705796
2020,623335.69016,605720.207357
2021,636266.815502,617233.026396
2022,646312.384065,626194.007786
2023,653472.395847,632603.151525
2024,658922.625628,637469.372829
2025,665548.630189,643344.509347
2026,673563.532972,650525.114304
2027,680723.544754,656934.258044
2028,686173.774536,661800.479348
2029,693654.670097,668447.077084
2030,698784.016099,673075.844391
2031,706798.918882,680256.449348
