year,Base case diesel consumed,Modeled transmission and interties
2021,235305.043509,117652.521754
2022,235305.043509,117652.521754
2023,235305.043509,117652.521754
2024,235305.043509,117652.521754
2025,235305.043509,117652.521754
2026,235305.043509,117652.521754
2027,235305.043509,117652.521754
2028,235305.043509,117652.521754
2029,235305.043509,117652.521754
2030,235305.043509,117652.521754
2031,235305.043509,117652.521754
2032,235305.043509,117652.521754
2033,235305.043509,117652.521754
2034,235305.043509,117652.521754
2035,235305.043509,117652.521754
2036,235305.043509,117652.521754
2037,235305.043509,117652.521754
2038,235305.043509,117652.521754
2039,235456.170704,117728.085352
2040,235456.170704,117728.085352
