year,Base case diesel consumed,Modeled residential ashp
2017,80884.7048881,7451.76873889
2018,79652.9440528,6220.00790357
2019,78421.1832174,4988.24706826
2020,78421.1832174,4988.24706826
2021,78421.1832174,4988.24706826
2022,78421.1832174,4988.24706826
2023,79652.9440528,6220.00790357
2024,79652.9440528,6220.00790357
2025,79652.9440528,6220.00790357
2026,79652.9440528,6220.00790357
2027,79652.9440528,6220.00790357
2028,79652.9440528,6220.00790357
2029,78421.1832174,4988.24706826
2030,78421.1832174,4988.24706826
2031,78421.1832174,4988.24706826
