year,Base case cost,Modeled diesel efficiency
2019,399377.739494,596973.748059
2020,422801.653834,618268.215641
2021,439198.393872,633174.342948
2022,450910.351042,643821.576739
2023,460279.916777,652339.363771
2024,467307.091079,658727.704046
2025,475505.461098,666180.767699
2026,486046.222551,675763.278111
2027,494244.59257,683216.341765
2028,501271.766872,689604.682039
2029,510641.332608,698122.469072
2030,516497.311193,703446.085967
2031,527038.072646,713028.596379
2032,537578.834099,722611.106791
2033,548119.595552,732193.617203
2034,559831.552722,742840.850993
2035,566858.727024,749229.191268
2036,577399.488477,758811.70168
2037,584426.662778,765200.041954
2038,596138.619948,775847.275745
