year,Base case diesel consumed,Modeled non-residential ashp
2017,80884.7048881,61021.0472862
2018,79652.9440528,59789.2864509
2019,78421.1832174,58557.5256156
2020,78421.1832174,58557.5256156
2021,78421.1832174,58557.5256156
2022,78421.1832174,58557.5256156
2023,79652.9440528,59789.2864509
2024,79652.9440528,59789.2864509
2025,79652.9440528,59789.2864509
2026,79652.9440528,59789.2864509
2027,79652.9440528,59789.2864509
2028,79652.9440528,59789.2864509
2029,78421.1832174,58557.5256156
2030,78421.1832174,58557.5256156
2031,78421.1832174,58557.5256156
