year,annotation,diesel generation efficiency
2002,,13.56
2003,,13.66
2004,,13.5
2005,,13.33
2006,,13.84
2007,,13.14
2008,,13.18
2009,,12.75
2010,,12.3
2011,,12.84
2012,,13.16
2013,,13.7
2016,start of forecast,13.23
2017,,13.23
2018,,13.23
2019,,13.23
2020,,13.23
2021,,13.23
2022,,13.23
2023,,13.23
2024,,13.23
2025,,13.23
2026,,13.23
2027,,13.23
2028,,13.23
2029,,13.23
2030,,13.23
2031,,13.23
2032,,13.23
2033,,13.23
2034,,13.23
2035,,13.23
2036,,13.23
2037,,13.23
2038,,13.23
2039,,13.23
2040,,13.23
