year,Base case cost,Modeled water and wastewater efficiency
2017,86443.0130523,58962.7005537
2018,91889.3742111,60115.9285386
2019,99419.6327511,61971.3892014
2020,102947.707601,62523.2332779
2021,105373.586393,62726.5014714
2022,107250.578082,62763.2073859
2023,108564.702225,62627.5649878
2024,109746.6038,62462.1355143
2025,111075.462945,62358.73488
2026,112564.845691,62322.3509042
2027,113913.362848,62251.8613059
2028,115124.424813,62148.316268
2029,116617.99971,62150.0639094
2030,117558.569734,61981.2959154
2031,119193.600403,62052.7468528
