year,Base case diesel consumed,Modeled wind power
2019,74160.6434853,60185.3595436
2020,74532.1897953,60556.9058536
2021,74829.4268433,60854.1429017
2022,75200.9731534,61225.6892117
2023,75498.2102014,61522.9262597
2024,75869.7565115,61894.4725698
2025,76241.3028215,62266.0188798
2026,76687.1583936,62711.8744519
2027,77133.0139656,63157.7300239
2028,77578.8695377,63603.585596
2029,78024.7251097,64049.4411681
2030,78470.5806818,64495.2967401
2031,78842.1269918,64866.8430502
2032,79362.2918259,65387.0078842
2033,79808.147398,65832.8634563
2034,80254.00297,66278.7190283
2035,80699.8585421,66724.5746004
2036,81145.7141141,67170.4301725
2037,81591.5696862,67616.2857445
2038,81963.1159962,67987.8320546
