year,Base case cost,Modeled wind power
2019,312957.915508,495980.668765
2020,333158.888385,508416.135649
2021,347208.540553,515763.910942
2022,358708.641942,521147.481672
2023,366921.301579,523826.385879
2024,374796.597167,526391.452848
2025,383493.753192,529761.630094
2026,393405.122559,534326.876086
2027,402634.332901,538426.305233
2028,411168.00855,542044.258348
2029,421333.515593,547149.133927
2030,428449.370523,549770.746019
2031,439150.647345,555471.828969
2032,450777.817571,562185.340252
2033,462887.254908,569346.712809
2034,474301.157553,576013.989366
2035,483392.152667,580795.687929
2036,495800.313237,588497.604782
2037,504235.900661,592898.36968
2038,516367.630776,600475.771591
