year,annotation,diesel generation efficiency
2002,,12.12
2003,,11.9
2004,,12.05
2005,,13.56
2006,,13.48
2007,,13.39
2008,,13.51
2009,,13.48
2010,,13.6
2011,,13.74
2012,,13.71
2013,,13.38
2014,,13.86
2015,,13.13
2016,start of forecast,13.46
2017,,13.46
2018,,13.46
2019,,13.46
2020,,13.46
2021,,13.46
2022,,13.46
2023,,13.46
2024,,13.46
2025,,13.46
2026,,13.46
2027,,13.46
2028,,13.46
2029,,13.46
2030,,13.46
2031,,13.46
2032,,13.46
2033,,13.46
2034,,13.46
2035,,13.46
2036,,13.46
2037,,13.46
2038,,13.46
2039,,13.46
2040,,13.46
