year,Base case cost,Modeled biomass for heat (cordwood)
2017,329261.003472,367439.268669
2018,355788.023472,385953.581803
2019,392517.743472,412037.724835
2020,409522.243472,423561.897864
2021,421085.303472,431087.172207
2022,429927.643472,436624.716547
2023,436049.263472,440173.968036
2024,441490.703472,443243.1858
2025,447612.323472,446837.705583
2026,454414.123472,450957.003184
2027,460535.743472,454594.694177
2028,465977.183472,457750.278645
2029,472778.983472,461932.077169
2030,476860.063472,464121.995434
2031,484342.043472,468845.994207
2032,,
2033,,
2034,,
2035,,
2036,,
