year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,68018.0,50293.6262349
2018,68018.0,50293.6262349
2019,68018.0,50293.6262349
2020,68018.0,50293.6262349
2021,68018.0,50293.6262349
2022,68018.0,50293.6262349
2023,68018.0,50293.6262349
2024,68018.0,50293.6262349
2025,68018.0,50293.6262349
2026,68018.0,50293.6262349
2027,68018.0,50293.6262349
2028,68018.0,50293.6262349
2029,68018.0,50293.6262349
2030,68018.0,50293.6262349
2031,68018.0,50293.6262349
2032,,
2033,,
2034,,
2035,,
2036,,
