year,Water/Wastewater Heating Fuel,Non-residential Heating Fuel,Residential Heating Fuel,Water/Wastewater Electricity,Non-residential Electricity,Residential Electricity
2017,32103.29,329258.82,261280.12,54339.72,260923.16,319919.72
2018,34704.27,355785.66,278580.49,57185.11,274395.84,339980.13
2019,38303.45,392515.14,301369.88,61116.18,293050.33,366875.5
2020,39981.61,409519.53,314795.32,62966.1,301686.66,381581.18
2021,41130.44,421082.51,320628.41,64243.14,307559.37,389009.14
2022,42015.28,429924.79,330235.12,65235.3,312050.26,398716.78
2023,42632.1,436046.37,338567.11,65932.6,315159.34,406756.92
2024,43184.38,441487.78,346637.45,66562.22,317922.97,414427.01
2025,43805.6,447609.35,355159.54,67269.87,321032.05,422623.2
2026,44499.65,454411.11,364149.69,68065.2,324486.58,431358.87
2027,45126.74,460532.69,372872.75,68786.62,327595.66,439720.03
2028,45687.82,465974.09,381312.44,69436.61,330359.29,447693.3
2029,46383.55,472775.85,390612.18,70234.45,333813.82,456683.11
2030,46813.82,476856.9,398452.53,70744.75,335886.54,463853.84
2031,47577.18,484338.83,408345.25,71616.42,339686.53,473485.68
2032,,,418357.46,,,483215.62
2033,,,428897.47,,,493534.08
2034,,,439154.11,,,503464.65
2035,,,448272.74,,,511995.24
2036,,,459176.67,,,522612.42
