year,Base case diesel consumed,Modeled solar power (pv)
2016,73343.2416032,72145.3731567
2017,73566.1693892,72377.8838903
2018,73863.4064372,72684.6272223
2019,74160.6434853,72991.2945041
2020,74532.1897953,73372.195606
2021,74829.4268433,73678.7126075
2022,75200.9731534,74059.4646315
2023,75498.2102014,74365.8337477
2024,75869.7565115,74746.4390694
2025,76241.3028215,75126.9719189
2026,76687.1583936,75581.7421382
2027,77133.0139656,76036.4410403
2028,77578.8695377,76491.0691958
2029,78024.7251097,76945.6271706
2030,78470.5806818,77400.1155261
2031,78842.1269918,77780.2255574
2032,79362.2918259,78308.885603
2033,79808.147398,78763.1684248
2034,80254.00297,79217.3838286
2035,80699.8585421,79671.5323538
