year,Base case cost,Modeled solar power (pv)
2016,202427.346825,211080.220654
2017,242032.69729,249829.88815
2018,271817.335689,278939.681894
2019,312957.915508,319242.92469
2020,333158.888385,338958.452728
2021,347208.540553,352624.576585
2022,358708.641942,363795.013361
2023,366921.301579,371730.614415
2024,374796.597167,379346.521142
2025,383493.753192,387779.264001
2026,393405.122559,397421.330705
2027,402634.332901,406398.413807
2028,411168.00855,414696.743389
2029,421333.515593,424610.925411
2030,428449.370523,431524.10097
2031,439150.647345,441974.622561
2032,450777.817571,453356.79443
2033,462887.254908,465216.420955
2034,474301.157553,476396.566536
2035,483392.152667,485290.059593
