year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5190.24707822,3371.75168303
2018,5194.15339032,3374.28934919
2019,5198.17086144,3376.89922783
2020,5202.26386198,3379.55817282
2021,5206.41971473,3382.25794863
2022,5210.64482503,3385.00271637
2023,5214.93959319,3387.79273611
2024,5219.28079994,3390.61292385
2025,5223.64055544,3393.44516145
2026,5227.99243772,3396.27228436
2027,5232.34165112,3399.09767347
2028,5236.70314139,3401.93103804
2029,5241.1499025,3404.81979729
2030,5245.6201498,3407.72381392
2031,5250.12295747,3410.64898283
