year,Base case cost,Modeled biomass for heat (pellet)
2017,265804.648937,277880.577813
2018,286274.772599,294645.789427
2019,315849.896262,319030.484922
2020,329479.149924,330090.968398
2021,334737.153172,333410.225871
2022,342183.216042,339298.455884
2023,346628.68812,342691.297409
2024,346278.970575,341296.117371
2025,350665.473446,344644.157808
2026,357269.827108,349843.488373
2027,356650.251148,348198.96175
2028,360977.00481,351507.284063
2029,366757.958473,356027.241785
2030,369632.712928,358145.079815
2031,370864.728552,358003.92283
2032,376565.813006,362462.229509
2033,382988.208253,367523.171741
2034,389404.092708,372583.257783
2035,393667.837163,375870.122557
2036,394377.841995,375235.243697
